"","entrezgene","gene.symbol","chromosome","description","type.of.gene","rapdb","msu"
"51","29141378","rbcL","-","ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit","protein-coding","-","-"
"52","29141379","accD","-","AccD","protein-coding","-","-"
"53","29141380","psaI","-","PsaI","protein-coding","-","-"
"54","29141381","ycf4","-","Ycf4","protein-coding","-","-"
"55","29141382","cemA","-","CemA","protein-coding","-","-"
"56","29141383","petA","-","PetA","protein-coding","-","-"
"57","29141384","psbJ","-","PsbJ","protein-coding","-","-"
"58","29141385","psbL","-","PsbL","protein-coding","-","-"
"59","29141386","psbF","-","PsbF","protein-coding","-","-"
"60","29141387","psbE","-","PsbE","protein-coding","-","-"
"61","29141388","petL","-","PetL","protein-coding","-","-"
"62","29141389","petG","-","PetG","protein-coding","-","-"
"63","29141390","trnW-CCA","-","tRNA","tRNA","-","-"
"64","29141391","trnP-UGG","-","tRNA","tRNA","-","-"
"65","29141392","psaJ","-","PsaJ","protein-coding","-","-"
"66","29141393","rpl33","-","ribosomal protein L33","protein-coding","-","-"
"67","29141394","rps18","-","ribosomal protein S18","protein-coding","-","-"
"68","29141395","rpl20","-","ribosomal protein L20","protein-coding","-","-"
"69","29141396","clpP","-","ClpP","protein-coding","-","-"
"70","29141397","psbB","-","PsbB","protein-coding","-","-"
"71","29141398","psbT","-","PsbT","protein-coding","-","-"
"72","29141399","psbN","-","PsbN","protein-coding","-","-"
"73","29141400","psbH","-","PsbH","protein-coding","-","-"
"74","29141401","petB","-","PetB","protein-coding","-","-"
"75","29141402","petD","-","PetD","protein-coding","-","-"
"76","29141403","rpoA","-","RpoA","protein-coding","-","-"
"77","29141404","rps11","-","ribosomal protein S11","protein-coding","-","-"
"78","29141405","rpl36","-","ribosomal protein L36","protein-coding","-","-"
"79","29141406","infA","-","InfA","protein-coding","-","-"
"80","29141407","rps8","-","ribosomal protein S8","protein-coding","-","-"
"81","29141408","rpl14","-","ribosomal protein L14","protein-coding","-","-"
"82","29141409","rpl16","-","ribosomal protein L16","protein-coding","-","-"
"83","29141410","rps3","-","ribosomal protein S3","protein-coding","-","-"
"84","29141411","rpl22","-","ribosomal protein L22","protein-coding","-","-"
"85","29141412","rps19","-","ribosomal protein S19","protein-coding","-","-"
"86","29141413","trnH-GUG","-","tRNA","tRNA","-","-"
"87","29141414","rpl2","-","ribosomal protein L2","protein-coding","-","-"
"88","29141415","rpl23","-","ribosomal protein L23","protein-coding","-","-"
"89","29141416","trnI-CAU","-","tRNA","tRNA","-","-"
"90","29141417","orf46","-","orf46","protein-coding","-","-"
"91","29141418","orf34","-","orf34","protein-coding","-","-"
"92","29141419","orf28","-","orf28","protein-coding","-","-"
"93","29141420","orf64","-","orf64","protein-coding","-","-"
"94","29141421","orf222","-","orf222","protein-coding","-","-"
"95","29141422","trnL-CAA","-","tRNA","tRNA","-","-"
"96","29141423","ndhB","-","NdhB","protein-coding","-","-"
"97","29141424","rps7","-","ribosomal protein S7","protein-coding","-","-"
"98","29141425","trnV-GAC","-","tRNA","tRNA","-","-"
"99","29141426","AKK66_gr008","-","16S ribosomal RNA","rRNA","-","-"
"100","29141427","AKK66_gr007","-","23S ribosomal RNA","rRNA","-","-"
"101","29141428","orf23","-","orf23","protein-coding","-","-"
"102","29141429","trnN-GUU","-","tRNA","tRNA","-","-"
"103","29141430","orf39","-","orf39","protein-coding","-","-"
"104","29141431","orf63","-","orf63","protein-coding","-","-"
"105","29141432","rps15","-","ribosomal protein S15","protein-coding","-","-"
"106","29141433","ndhH","-","NdhH","protein-coding","-","-"
"107","29141434","ndhF","-","NdhF","protein-coding","-","-"
"108","29141435","rpl32","-","ribosomal protein L32","protein-coding","-","-"
"109","29141436","trnL-UAG","-","tRNA","tRNA","-","-"
"110","29141437","ccsA","-","CcsA","protein-coding","-","-"
"111","29141438","ndhD","-","NdhD","protein-coding","-","-"
"112","29141439","psaC","-","PsaC","protein-coding","-","-"
"113","29141440","ndhE","-","NdhE","protein-coding","-","-"
"114","29141441","ndhG","-","NdhG","protein-coding","-","-"
"115","29141442","ndhI","-","NdhI","protein-coding","-","-"
"116","29141443","ndhA","-","NdhA","protein-coding","-","-"
"117","29141444","ndhH","-","NdhH","protein-coding","-","-"
"118","29141445","rps15","-","ribosomal protein S15","protein-coding","-","-"
"119","29141446","orf63","-","orf63","protein-coding","-","-"
"120","29141447","orf39","-","orf39","protein-coding","-","-"
"121","29141448","trnN-GUU","-","tRNA","tRNA","-","-"
"122","29141449","orf23","-","orf23","protein-coding","-","-"
"123","29141450","trnR-ACG","-","tRNA","tRNA","-","-"
"124","29141451","AKK66_gr004","-","5S ribosomal RNA","rRNA","-","-"
"125","29141452","trnI-GAU","-","tRNA","tRNA","-","-"
"126","29141453","AKK66_gr001","-","16S ribosomal RNA","rRNA","-","-"
"127","29141454","rps7","-","ribosomal protein S7","protein-coding","-","-"
"128","29141455","ndhB","-","NdhB","protein-coding","-","-"
"129","29141456","trnL-CAA","-","tRNA","tRNA","-","-"
"130","29141457","orf222","-","orf222","protein-coding","-","-"
"131","29141458","orf64","-","orf64","protein-coding","-","-"
"132","29141459","orf28","-","orf28","protein-coding","-","-"
"133","29141460","orf34","-","orf34","protein-coding","-","-"
"134","29141461","orf46","-","orf46","protein-coding","-","-"
"135","29141462","trnI-CAU","-","tRNA","tRNA","-","-"
"136","29141463","rpl23","-","ribosomal protein L23","protein-coding","-","-"
"137","29141464","rpl2","-","ribosomal protein L2","protein-coding","-","-"
"138","29141465","trnH-GUG","-","tRNA","tRNA","-","-"
"139","29141466","rps19","-","ribosomal protein S19","protein-coding","-","-"
"140","29141467","rps12","-","ribosomal protein S12","protein-coding","-","-"
"141","29141468","trnA-UGC","-","tRNA","tRNA","-","-"
"142","29141469","AKK66_gr006","-","4.5S ribosomal RNA","rRNA","-","-"
"143","29141470","AKK66_gr005","-","5S ribosomal RNA","rRNA","-","-"
"144","29141471","trnR-ACG","-","tRNA","tRNA","-","-"
"145","29141472","AKK66_gr003","-","4.5S ribosomal RNA","rRNA","-","-"
"146","29141473","AKK66_gr002","-","23S ribosomal RNA","rRNA","-","-"
"147","29141474","trnA-UGC","-","tRNA","tRNA","-","-"
"148","29141475","trnV-GAC","-","tRNA","tRNA","-","-"
"149","2885884","petB","-","cytochrome b6","protein-coding","-","-"
"150","2885886","petL","-","cytochrome b6/f complex subunit VI","protein-coding","-","-"
"151","2885891","rps12","-","ribosomal protein S12","protein-coding","-","-"
"152","2885892","psbT","-","photosystem II protein T","protein-coding","-","-"
"153","2885896","matK","-","maturase K","protein-coding","-","-"
"154","2885897","ndhA","-","NADH dehydrogenase subunit 1","protein-coding","-","-"
"155","2885899","rpl22","-","ribosomal protein L22","protein-coding","-","-"
"156","2885901","ndhC","-","NADH dehydrogenase subunit 3","protein-coding","-","-"
"157","2885902","ndhD","-","NADH dehydrogenase subunit 4","protein-coding","-","-"
"158","2885904","ycf3","-","photosystem I assembly protein Ycf3","protein-coding","-","-"
"159","2885905","ycf4","-","photosystem I assembly protein Ycf4","protein-coding","-","-"
"160","2885910","ndhF","-","NADH dehydrogenase subunit 5","protein-coding","-","-"
"161","2885911","ndhG","-","NADH dehydrogenase subunit 6","protein-coding","-","-"
"162","2885912","psbI","-","photosystem II protein I","protein-coding","-","-"
"163","2885916","ndhH","-","NADH dehydrogenase subunit 7","protein-coding","-","-"
"164","2885917","infA","-","translation initiation factor 1","protein-coding","-","-"
"165","2885919","psbM","-","photosystem II protein M","protein-coding","-","-"
"166","2885921","ccsA","-","cytochrome c biogenesis protein","protein-coding","-","-"
"167","2885922","clpP","-","ATP-dependent Clp protease proteolytic subunit","protein-coding","-","-"
"168","2885926","rps18","-","ribosomal protein S18","protein-coding","-","-"
"169","2885929","rps15","-","ribosomal protein S15","protein-coding","-","-"
"170","2885930","rpoC2","-","RNA polymerase beta'' subunit","protein-coding","-","-"
"171","2885932","rpl16","-","ribosomal protein L16","protein-coding","-","-"
"172","2885935","ndhB","-","NADH dehydrogenase subunit 2","protein-coding","-","-"
"173","2885937","rpl32","-","ribosomal protein L32","protein-coding","-","-"
"174","2885938","psaJ","-","photosystem I subunit IX","protein-coding","-","-"
"175","2885939","psbA","-","photosystem II protein D1","protein-coding","-","-"
"176","2885940","ndhB","-","NADH dehydrogenase subunit 2","protein-coding","-","-"
"177","2885944","rpl33","-","ribosomal protein L33","protein-coding","-","-"
"178","2885947","rps4","-","ribosomal protein S4","protein-coding","-","-"
"179","2885950","psbD","-","photosystem II protein D2","protein-coding","-","-"
"180","2885956","psaI","-","photosystem I subunit VIII","protein-coding","-","-"
"181","2885959","rps15","-","ribosomal protein S15","protein-coding","-","-"
"182","2885960","rps16","-","ribosomal protein S16","protein-coding","-","-"
"183","2885963","ndhE","-","NADH dehydrogenase subunit 4L","protein-coding","-","-"
"184","2934927","OrniCt023","-","tRNA","tRNA","-","-"
"185","2934928","OrniCr004","-","5S ribosomal RNA","rRNA","-","-"
"186","2934929","OrniCt012","-","tRNA","tRNA","-","-"
"187","2934930","OrniCp079","-","hypothetical protein","protein-coding","-","-"
"188","2934931","OrniCp080","-","hypothetical protein","protein-coding","-","-"
"189","2934932","OrniCp081","-","hypothetical protein","protein-coding","-","-"
"190","2934933","OrniCp082","-","hypothetical protein","protein-coding","-","-"
"191","2934934","OrniCr003","-","4.5S ribosomal RNA","rRNA","-","-"
"192","2934935","OrniCt001","-","tRNA","tRNA","-","-"
"193","2934936","OrniCt009","-","tRNA","tRNA","-","-"
"194","2934937","OrniCt030","-","tRNA","tRNA","-","-"
"195","2934938","OrniCt008","-","tRNA","tRNA","-","-"
"196","2934939","OrniCt020","-","tRNA","tRNA","-","-"
"197","2934940","OrniCp072","-","hypothetical protein","protein-coding","-","-"
"198","2934941","OrniCp073","-","hypothetical protein","protein-coding","-","-"
"199","2934942","OrniCp074","-","hypothetical protein","protein-coding","-","-"
"200","2934943","OrniCp077","-","hypothetical protein","protein-coding","-","-"
"201","2934944","OrniCp078","-","hypothetical protein","protein-coding","-","-"
"202","2934945","OrniCt005","-","tRNA","tRNA","-","-"
"203","2934946","OrniCt018","-","tRNA","tRNA","-","-"
"204","2934947","OrniCr008","-","16S ribosomal RNA","rRNA","-","-"
"205","2934948","OrniCt022","-","tRNA","tRNA","-","-"
"206","2934949","OrniCp109","-","hypothetical protein","protein-coding","-","-"
"207","2934950","OrniCp110","-","hypothetical protein","protein-coding","-","-"
"208","2934951","OrniCp111","-","hypothetical protein","protein-coding","-","-"
"209","2934952","OrniCp112","-","hypothetical protein","protein-coding","-","-"
"210","2934953","OrniCt015","-","tRNA","tRNA","-","-"
"211","2934954","OrniCt007","-","tRNA","tRNA","-","-"
"212","2934955","OrniCt004","-","tRNA","tRNA","-","-"
"213","2934956","OrniCt002","-","tRNA","tRNA","-","-"
"214","2934957","OrniCt010","-","tRNA","tRNA","-","-"
"215","2934958","OrniCt028","-","tRNA","tRNA","-","-"
"216","2934959","OrniCt003","-","tRNA","tRNA","-","-"
"217","2934960","OrniCp101","-","hypothetical protein","protein-coding","-","-"
"218","2934961","OrniCp102","-","hypothetical protein","protein-coding","-","-"
"219","2934962","OrniCp103","-","hypothetical protein","protein-coding","-","-"
"220","2934963","OrniCp107","-","hypothetical protein","protein-coding","-","-"
"221","2934964","OrniCp108","-","hypothetical protein","protein-coding","-","-"
"222","2934965","OrniCt032","-","tRNA","tRNA","-","-"
"223","2934966","OrniCr007","-","23S ribosomal RNA","rRNA","-","-"
"224","2934967","OrniCt021","-","tRNA","tRNA","-","-"
"225","2934968","OrniCr002","-","23S ribosomal RNA","rRNA","-","-"
"226","2934969","OrniCr001","-","16S ribosomal RNA","rRNA","-","-"
"227","2934970","OrniCt031","-","tRNA","tRNA","-","-"
"228","2934971","OrniCp083","-","hypothetical protein","protein-coding","-","-"
"229","2934972","OrniCp097","-","hypothetical protein","protein-coding","-","-"
"230","2934973","OrniCp098","-","hypothetical protein","protein-coding","-","-"
"231","2934974","OrniCp099","-","hypothetical protein","protein-coding","-","-"
"232","2934975","OrniCp100","-","hypothetical protein","protein-coding","-","-"
"233","2934976","OrniCt029","-","tRNA","tRNA","-","-"
"234","2934977","OrniCt027","-","tRNA","tRNA","-","-"
"235","2934978","OrniCt016","-","tRNA","tRNA","-","-"
"236","2934979","OrniCt013","-","tRNA","tRNA","-","-"
"237","2934980","OrniCt033","-","tRNA","tRNA","-","-"
"238","2934981","OrniCt036","-","tRNA","tRNA","-","-"
"239","2934982","OrniCt011","-","tRNA","tRNA","-","-"
"240","2934983","OrniCt035","-","tRNA","tRNA","-","-"
"241","2934984","OrniCt034","-","tRNA","tRNA","-","-"
"242","2934985","OrniCt026","-","tRNA","tRNA","-","-"
"243","2934986","OrniCr005","-","5S ribosomal RNA","rRNA","-","-"
"244","2934987","OrniCr006","-","4.5S ribosomal RNA","rRNA","-","-"
"245","2934988","OrniCt019","-","tRNA","tRNA","-","-"
"246","2934989","OrniCp006","-","hypothetical protein","protein-coding","-","-"
"247","2934990","OrniCp010","-","hypothetical protein","protein-coding","-","-"
"248","2934991","OrniCp011","-","hypothetical protein","protein-coding","-","-"
"249","2934992","OrniCp033","-","hypothetical protein","protein-coding","-","-"
"250","2934993","OrniCt025","-","tRNA","tRNA","-","-"
"251","2934994","OrniCt024","-","tRNA","tRNA","-","-"
"252","2934995","OrniCp115","-","hypothetical protein","protein-coding","-","-"
"253","2934996","OrniCp116","-","hypothetical protein","protein-coding","-","-"
"254","2934997","OrniCp118","-","hypothetical protein","protein-coding","-","-"
"255","2934998","OrniCp119","-","hypothetical protein","protein-coding","-","-"
"256","2934999","OrniCt006","-","tRNA","tRNA","-","-"
"257","2935000","OrniCp036","-","hypothetical protein","protein-coding","-","-"
"258","2935001","OrniCp068","-","hypothetical protein","protein-coding","-","-"
"259","2935002","OrniCp070","-","hypothetical protein","protein-coding","-","-"
"260","2935003","OrniCp071","-","hypothetical protein","protein-coding","-","-"
"261","2935004","OrniCt014","-","tRNA","tRNA","-","-"
"262","2935005","OrniCt017","-","tRNA","tRNA","-","-"
"263","3276630","rps12","-","ribosomal protein S12","protein-coding","-","-"
"264","4036376","OrniCt037","-","tRNA","tRNA","-","-"
"265","4036377","OrniCt038","-","tRNA","tRNA","-","-"
"266","3950676","rrn26","MT","26S ribosomal RNA","rRNA","-","-"
"267","3950677","rrn26","MT","26S ribosomal RNA","rRNA","-","-"
"268","3950697","trnE(TTC)","MT","tRNA","tRNA","-","-"
"269","3950698","trnC(GCA)","MT","tRNA","tRNA","-","-"
"270","3950699","trnR(TCT)","MT","tRNA","tRNA","-","-"
"271","3950700","trnC(GCA)","MT","tRNA","tRNA","-","-"
"272","3950701","trnL(AAC)","MT","tRNA","tRNA","-","-"
"273","3950705","trnQ(TTG)","MT","tRNA","tRNA","-","-"
"274","3950706","trnQ(TTG)","MT","tRNA","tRNA","-","-"
"275","3950707","trnM(CAT)","MT","tRNA","tRNA","-","-"
"276","3950708","trnI(CAT)","MT","tRNA","tRNA","-","-"
"277","3950709","trnI","MT","tRNA","tRNA","-","-"
"278","3950710","trnD(GTC)","MT","tRNA","tRNA","-","-"
"279","3950711","trnN(GTT)","MT","tRNA","tRNA","-","-"
"280","3950712","trnK(TTT)","MT","tRNA","tRNA","-","-"
"281","3950713","trnfM(CAT)","MT","tRNA","tRNA","-","-"
"282","3950723","trnP(TGG)","MT","tRNA","tRNA","-","-"
"283","3950724","trnP(TGG)","MT","tRNA","tRNA","-","-"
"284","3950725","trnM(CAT)","MT","tRNA","tRNA","-","-"
"285","3950726","trnM(CAT)","MT","tRNA","tRNA","-","-"
"286","3950727","trnH(GTG)","MT","tRNA","tRNA","-","-"
"287","3950728","trnH(GTG)","MT","tRNA","tRNA","-","-"
"288","3950729","trnP(TGG)","MT","tRNA","tRNA","-","-"
"289","3950730","trnP(TGG)","MT","tRNA","tRNA","-","-"
"290","3950731","trnW(CCA)","MT","tRNA","tRNA","-","-"
"291","3950732","trnW(CCA)","MT","tRNA","tRNA","-","-"
"292","3950733","rps11","MT","pseudo","pseudo","-","-"
"293","3950745","rps14","MT","pseudo","pseudo","-","-"
"294","3950752","trnS(TGA)","MT","tRNA","tRNA","-","-"
"295","3950753","trnS(GCT)","MT","tRNA","tRNA","-","-"
"296","3950754","trnS(GGA)","MT","tRNA","tRNA","-","-"
"297","3950755","trnS(GGA)","MT","tRNA","tRNA","-","-"
"298","3950756","trnF(GAA)","MT","tRNA","tRNA","-","-"
"299","3950757","trnF(GAA)","MT","tRNA","tRNA","-","-"
"300","3950758","trnY(GTA)","MT","tRNA","tRNA","-","-"
"301","3950759","trnY(GTA)","MT","tRNA","tRNA","-","-"
"302","3950760","trnE(TTC)","MT","tRNA","tRNA","-","-"
"303","3950766","rps14","MT","pseudo","pseudo","-","-"
"304","3950767","rrn5","MT","5S ribosomal RNA","rRNA","-","-"
"305","3950768","rrn5","MT","5S ribosomal RNA","rRNA","-","-"
"306","3950769","rrn18","MT","18S ribosomal RNA","rRNA","-","-"
"307","3950770","rrn18","MT","18S ribosomal RNA","rRNA","-","-"
"308","4126913","ndhA","-","-","other","-","-"
"309","2829419","NEWENTRY","-","Record to support submission of GeneRIFs for a gene not in Gene (Japanese rice; Japonica rice; Oryza sativa (japonica culticar-group); Oryza sativa (japonica cultivar-group); Oryza sativa japonica; Oryza sativa ssp. japonica; Oryza sativa subsp. japonica).","other","-","-"
"310","3131339","trnK","-","tRNA","tRNA","-","-"
"311","3131340","OrsajCt122","-","tRNA","tRNA","-","-"
"312","3131341","OrsajCt123","-","tRNA","tRNA","-","-"
"313","3131342","OrsajCt124","-","tRNA","tRNA","-","-"
"314","3131343","OrsajCt125","-","tRNA","tRNA","-","-"
"315","3131344","OrsajCt127","-","tRNA","tRNA","-","-"
"316","3131345","OrsajCt128","-","tRNA","tRNA","-","-"
"317","3131346","OrsajCt130","-","tRNA","tRNA","-","-"
"318","3131347","OrsajCt132","-","tRNA","tRNA","-","-"
"319","3131348","OrsajCt133","-","tRNA","tRNA","-","-"
"320","3131349","OrsajCt134","-","tRNA","tRNA","-","-"
"321","3131350","OrsajCt135","-","tRNA","tRNA","-","-"
"322","3131351","OrsajCt136","-","tRNA","tRNA","-","-"
"323","3131352","OrsajCt137","-","tRNA","tRNA","-","-"
"324","3131353","OrsajCt138","-","tRNA","tRNA","-","-"
"325","3131354","OrsajCt139","-","tRNA","tRNA","-","-"
"326","3131355","OrsajCt140","-","tRNA","tRNA","-","-"
"327","3131356","OrsajCt141","-","tRNA","tRNA","-","-"
"328","3131357","OrsajCt142","-","tRNA","tRNA","-","-"
"329","3131358","OrsajCt143","-","tRNA","tRNA","-","-"
"330","3131359","OrsajCt144","-","tRNA","tRNA","-","-"
"331","3131360","OrsajCt145","-","tRNA","tRNA","-","-"
"332","3131361","OrsajCt146","-","tRNA","tRNA","-","-"
"333","3131362","OrsajCt147","-","tRNA","tRNA","-","-"
"334","3131363","OrsajCt148","-","tRNA","tRNA","-","-"
"335","3131364","OrsajCr113","-","16S ribosomal RNA","rRNA","-","-"
"336","3131365","OrsajCt149","-","tRNA","tRNA","-","-"
"337","3131366","OrsajCt150","-","tRNA","tRNA","-","-"
"338","3131367","OrsajCr114","-","23S ribosomal RNA","rRNA","-","-"
"339","3131368","OrsajCr115","-","4.5S ribosomal RNA","rRNA","-","-"
"340","3131369","OrsajCr116","-","5S ribosomal RNA","rRNA","-","-"
"341","3131370","OrsajCt151","-","tRNA","tRNA","-","-"
"342","3131371","OrsajCt152","-","tRNA","tRNA","-","-"
"343","3131372","OrsajCt153","-","tRNA","tRNA","-","-"
"344","3131373","OrsajCt154","-","tRNA","tRNA","-","-"
"345","3131374","OrsajCt155","-","tRNA","tRNA","-","-"
"346","3131375","OrsajCr117","-","5S ribosomal RNA","rRNA","-","-"
"347","3131376","OrsajCr118","-","4.5S ribosomal RNA","rRNA","-","-"
"348","3131377","OrsajCr119","-","23S ribosomal RNA","rRNA","-","-"
"349","3131378","OrsajCt156","-","tRNA","tRNA","-","-"
"350","3131379","OrsajCt157","-","tRNA","tRNA","-","-"
"351","3131380","OrsajCr120","-","16S ribosomal RNA","rRNA","-","-"
"352","3131381","OrsajCt158","-","tRNA","tRNA","-","-"
"353","3131382","OrsajCt159","-","tRNA","tRNA","-","-"
"354","3131383","OrsajCt160","-","tRNA","tRNA","-","-"
"355","3131384","OrsajCt161","-","tRNA","tRNA","-","-"
"356","3131385","rps12","-","ribosomal protein S12","protein-coding","-","-"
"357","3131386","ORF109","-","pseudo","pseudo","-","-"
"358","3131387","ORF109","-","pseudo","pseudo","-","-"
"359","3131394","infA","-","translation initiation factor 1","protein-coding","-","-"
"360","3131395","ndhA","-","NADH dehydrogenase subunit 1","protein-coding","-","-"
"361","3131396","ndhB","-","NADH dehydrogenase subunit 2","protein-coding","-","-"
"362","3131397","ndhB","-","NADH dehydrogenase subunit 2","protein-coding","-","-"
"363","3131398","ndhD","-","NADH dehydrogenase subunit 4","protein-coding","-","-"
"364","3131399","ndhE","-","NADH dehydrogenase subunit 4L","protein-coding","-","-"
"365","3131400","ndhF","-","NADH dehydrogenase subunit 5","protein-coding","-","-"
"366","3131401","ndhG","-","NADH dehydrogenase subunit 6","protein-coding","-","-"
"367","3131403","petB","-","cytochrome b6","protein-coding","-","-"
"368","3131409","psbA","-","photosystem II protein D1","protein-coding","-","-"
"369","3131412","psbD","-","photosystem II protein D2","protein-coding","-","-"
"370","3131416","psbI","-","photosystem II protein I","protein-coding","-","-"
"371","3131419","psbM","-","photosystem II protein M","protein-coding","-","-"
"372","3131423","rpl16","-","ribosomal protein L16","protein-coding","-","-"
"373","3131426","rpl22","-","ribosomal protein L22","protein-coding","-","-"
"374","3131429","rpl33","-","ribosomal protein L33","protein-coding","-","-"
"375","3131434","rpoC2","-","RNA polymerase beta'' subunit","protein-coding","-","-"
"376","3131437","rps15","-","ribosomal protein S15","protein-coding","-","-"
"377","3131438","rps15","-","ribosomal protein S15","protein-coding","-","-"
"378","3131439","rps16","-","ribosomal protein S16","protein-coding","-","-"
"379","3131440","rps18","-","ribosomal protein S18","protein-coding","-","-"
"380","3131447","trnG","-","pseudo","pseudo","-","-"
"381","3131448","trnI","-","pseudo","pseudo","-","-"
"382","3131449","trnT","-","pseudo","pseudo","-","-"
"383","3131499","rps12","-","ribosomal protein S12","protein-coding","-","-"
"384","4323883","LOC4323883","1","probable LRR receptor-like serine/threonine-protein kinase At3g47570","pseudo","-","-"
"385","4323922","LOC4323922","1","uncharacterized LOC4323922","ncRNA","-","-"
"386","4323977","LOC4323977","1","uncharacterized LOC4323977","ncRNA","-","-"
"387","4323980","LOC4323980","1","uncharacterized LOC4323980","ncRNA","-","-"
"388","4324014","LOC4324014","1","uncharacterized LOC4324014","pseudo","-","-"
"389","4324020","LOC4324020","1","uncharacterized LOC4324020","ncRNA","-","-"
"390","4324034","LOC4324034","1","uncharacterized LOC4324034","ncRNA","-","-"
"391","4324052","LOC4324052","1","uncharacterized LOC4324052","ncRNA","-","-"
"392","4324070","LOC4324070","1","receptor-like protein 6","pseudo","-","-"
"393","4324076","LOC4324076","1","probable carboxylesterase 15","pseudo","-","-"
"394","4324099","LOC4324099","1","uncharacterized LOC4324099","pseudo","-","-"
"395","4324108","LOC4324108","1","uncharacterized LOC4324108","ncRNA","-","-"
"396","4324109","LOC4324109","1","gallate 1-beta-glucosyltransferase-like","pseudo","-","-"
"397","4324113","LOC4324113","1","pre-mRNA-splicing factor SYF1 pseudogene","pseudo","-","-"
"398","4324168","LOC4324168","1","anthocyanidin 5,3-O-glucosyltransferase-like","pseudo","-","-"
"399","4324252","LOC4324252","1","uncharacterized LOC4324252","ncRNA","-","-"
"400","4324407","LOC4324407","1","receptor like protein 26-like","pseudo","-","-"
"401","4324422","LOC4324422","1","F-box/FBD/LRR-repeat protein At1g13570-like","pseudo","-","-"
"402","4324507","LOC4324507","1","uncharacterized LOC4324507","pseudo","-","-"
"403","4324509","LOC4324509","1","uncharacterized LOC4324509","ncRNA","-","-"
"404","4324513","LOC4324513","1","probable LRR receptor-like serine/threonine-protein kinase At3g47570","pseudo","-","-"
"405","4324545","LOC4324545","1","uncharacterized LOC4324545","ncRNA","-","-"
"406","4324659","LOC4324659","1","protein argonaute 2-like","pseudo","-","-"
"407","4324729","LOC4324729","1","uncharacterized LOC4324729","ncRNA","-","-"
"408","4324869","LOC4324869","1","uncharacterized LOC4324869","ncRNA","-","-"
"409","4324938","LOC4324938","1","G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130","pseudo","-","-"
