ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009642	response to light intensity	12/1699	28/10993	0.00048278313548475	0.015411923171244	0.0135257461439452	Os01g0750300/Os03g0129300/Os02g0125700/Os02g0187800/Os02g0626100/Os06g0132400/Os07g0208500/Os08g0157500/Os08g0498100/Os08g0566600/Os10g0467800/Os09g0422500	12
GO:0006887	exocytosis	16/1699	44/10993	0.000550312341809845	0.0163128301322204	0.014316396260617	Os01g0763750/Os01g0827600/Os01g0905200/Os01g0905300/Os03g0787000/Os02g0575900/Os06g0168500/Os06g0255900/Os06g0698600/Os05g0369300/Os05g0473500/Os07g0164300/Os11g0572200/Os08g0232700/Os08g0530300/Os09g0347300	16
GO:0009734	auxin-activated signaling pathway	29/1699	104/10993	0.000821417293267961	0.0227258784470803	0.0199445883137344	Os01g0231000/Os01g0360200/Os01g0785400/Os01g0856500/Os03g0285800/Os03g0633500/Os03g0633800/Os03g0727600/Os03g0742900/Os03g0797800/Os02g0141100/Os02g0705500/Os02g0817600/Os04g0396500/Os04g0519700/Os04g0578000/Os06g0166500/Os05g0178600/Os05g0186900/Os05g0230700/Os05g0447200/Os05g0559400/Os11g0221000/Os11g0523800/Os08g0109400/Os12g0601300/Os12g0601400/Os09g0443700/Os09g0443800	29
GO:0002238	response to molecule of fungal origin	15/1699	42/10993	0.00101045121986079	0.0249550748087622	0.0219009660972269	Os01g0217800/Os01g0360200/Os02g0126400/Os02g0624300/Os02g0627100/Os04g0179200/Os04g0488700/Os04g0517100/Os04g0671700/Os07g0119000/Os11g0591550/Os08g0249100/Os10g0444700/Os09g0417600/Os09g0417800	15
GO:0009733	response to auxin	50/1699	211/10993	0.00102225607650351	0.0249550748087622	0.0219009660972269	Os01g0178500/Os01g0191300/Os01g0231000/Os01g0360200/Os01g0547600/Os01g0688300/Os01g0695700/Os01g0695800/Os01g0723800/Os01g0764800/Os01g0768333/Os01g0785400/Os01g0845100/Os01g0856500/Os03g0187800/Os03g0232600/Os03g0285800/Os03g0633500/Os03g0633800/Os03g0727600/Os03g0797800/Os03g0858600/Os02g0624300/Os02g0631700/Os02g0643800/Os02g0757100/Os02g0805100/Os02g0817600/Os04g0460600/Os04g0578000/Os04g0584600/Os06g0166500/Os06g0696400/Os05g0102000/Os05g0178600/Os05g0186900/Os05g0214300/Os05g0230700/Os05g0447200/Os05g0481900/Os05g0531000/Os05g0559400/Os07g0515100/Os07g0629000/Os11g0143300/Os12g0601400/Os10g0444700/Os09g0110300/Os09g0385700/Os09g0454600	50
GO:0009407	toxin catabolic process	8/1699	16/10993	0.00128455470175519	0.0280573790120212	0.0246235970530358	Os01g0949750/Os03g0785900/Os10g0525400/Os10g0527400/Os10g0527800/Os10g0529300/Os10g0531400/Os09g0385700	8
GO:0009697	salicylic acid biosynthetic process	8/1699	16/10993	0.00128455470175519	0.0280573790120212	0.0246235970530358	Os03g0825800/Os02g0626100/Os02g0627100/Os02g0698000/Os04g0518400/Os09g0361500/Os09g0417600/Os09g0417800	8
GO:0042742	defense response to bacterium	97/1699	472/10993	0.00151087389448218	0.0308365587325655	0.0270626488813384	Os01g0127700/Os01g0182700/Os01g0185900/Os01g0289600/Os01g0510100/Os01g0584900/Os01g0639200/Os01g0639900/Os01g0648000/Os01g0656400/Os01g0714800/Os01g0764400/Os01g0821300/Os01g0821600/Os01g0940700/Os03g0148700/Os03g0159100/Os03g0179400/Os03g0225900/Os03g0285800/Os03g0335200/Os03g0407900/Os03g0657400/Os03g0667100/Os03g0676400/Os03g0694000/Os03g0727600/Os03g0790900/Os03g0821300/Os03g0821900/Os03g0825800/Os02g0118200/Os02g0126400/Os02g0187800/Os02g0327000/Os02g0462800/Os02g0626100/Os02g0627100/Os02g0698000/Os02g0777800/Os02g0821400/Os04g0178300/Os04g0179200/Os04g0229100/Os04g0632100/Os06g0128800/Os06g0158100/Os06g0270900/Os06g0649000/Os05g0135800/Os05g0218400/Os05g0322900/Os05g0373300/Os05g0439400/Os05g0474800/Os05g0537100/Os05g0571200/Os05g0589700/Os05g0597100/Os07g0154100/Os07g0538400/Os07g0680400/Os07g0686800/Os11g0117600/Os11g0134700/Os11g0168600/Os11g0195500/Os11g0249000/Os11g0559200/Os11g0592100/Os08g0189600/Os08g0189900/Os08g0198900/Os08g0235800/Os08g0278900/Os08g0386200/Os08g0441500/Os08g0441600/Os12g0106300/Os12g0210400/Os12g0420200/Os12g0555200/Os12g0555500/Os12g0595800/Os10g0112100/Os10g0395000/Os10g0416500/Os10g0431900/Os10g0444700/Os10g0537800/Os10g0564500/Os09g0334500/Os09g0361500/Os09g0417600/Os09g0417800/Os09g0471500/Os09g0474000	97
GO:0006559	L-phenylalanine catabolic process	6/1699	10/10993	0.00161661999841355	0.0308365587325655	0.0270626488813384	Os02g0626100/Os02g0626400/Os02g0627100/Os04g0518100/Os04g0518400/Os05g0427400	6
GO:0006749	glutathione metabolic process	9/1699	20/10993	0.00163470913762998	0.0308365587325655	0.0270626488813384	Os01g0369700/Os01g0949750/Os03g0785900/Os10g0525400/Os10g0527400/Os10g0527800/Os10g0529300/Os10g0530400/Os10g0531400	9
GO:0045492	xylan biosynthetic process	10/1699	24/10993	0.00184900375817265	0.0333624591148543	0.0292794187793014	Os01g0926700/Os03g0291200/Os03g0817500/Os02g0329800/Os02g0556000/Os04g0650300/Os04g0650366/Os06g0687900/Os05g0123100/Os09g0375600	10
GO:0048316	seed development	43/1699	182/10993	0.00235613454813024	0.0404631151662711	0.0355110661953832	Os01g0616900/Os01g0695700/Os01g0840300/Os03g0148700/Os03g0179400/Os03g0276500/Os03g0407900/Os03g0694000/Os03g0751100/Os03g0804500/Os03g0819600/Os03g0825800/Os02g0118200/Os02g0165100/Os02g0626100/Os02g0648100/Os02g0777800/Os02g0802700/Os02g0821400/Os04g0368800/Os04g0490500/Os04g0615700/Os04g0619400/Os04g0632100/Os06g0202900/Os06g0717200/Os06g0727400/Os05g0135800/Os05g0218400/Os05g0589700/Os07g0603300/Os07g0693000/Os11g0168600/Os11g0667700/Os08g0189100/Os08g0189900/Os12g0562400/Os10g0395000/Os10g0431900/Os10g0536400/Os09g0321900/Os09g0442100/Os09g0459200	43
GO:0010229	inflorescence development	55/1699	246/10993	0.0024375370582091	0.0404631151662711	0.0355110661953832	Os01g0169400/Os01g0668100/Os01g0769700/Os03g0123500/Os03g0148700/Os03g0179400/Os03g0187800/Os03g0229500/Os03g0332100/Os03g0333200/Os03g0407900/Os03g0694000/Os03g0725200/Os03g0804500/Os03g0825800/Os02g0118200/Os02g0165100/Os02g0186900/Os02g0627100/Os02g0648100/Os02g0777800/Os02g0811000/Os02g0821400/Os04g0368800/Os04g0490500/Os04g0518400/Os04g0619400/Os04g0632100/Os06g0202900/Os06g0270900/Os06g0717200/Os06g0727400/Os05g0162800/Os05g0218400/Os05g0482400/Os05g0589700/Os07g0244400/Os07g0603300/Os07g0635300/Os07g0686800/Os07g0693000/Os11g0141900/Os11g0168600/Os11g0289700/Os11g0667700/Os08g0189900/Os08g0249100/Os12g0562400/Os10g0395000/Os10g0431900/Os10g0512400/Os09g0441400/Os09g0442100/Os09g0459200/Os09g0533600	55
GO:0010215	cellulose microfibril organization	7/1699	14/10993	0.00261845319381046	0.0417945413627439	0.0366795467634988	Os03g0301200/Os03g0416200/Os03g0754500/Os05g0386800/Os07g0604300/Os07g0690900/Os10g0497700	7
GO:0006952	defense response	83/1699	402/10993	0.00280365608515482	0.0430932324199723	0.0378192984586187	Os01g0182700/Os01g0185900/Os01g0289600/Os01g0360200/Os01g0584900/Os01g0656400/Os01g0686800/Os01g0705700/Os01g0714800/Os01g0798900/Os01g0799100/Os01g0821300/Os01g0821600/Os01g0826400/Os01g0940700/Os03g0129100/Os03g0130300/Os03g0273200/Os03g0285800/Os03g0300400/Os03g0324600/Os03g0335200/Os03g0657400/Os03g0821300/Os02g0262800/Os02g0327000/Os02g0462800/Os02g0570400/Os02g0627100/Os04g0111100/Os04g0178300/Os04g0178400/Os04g0219600/Os04g0514600/Os04g0518100/Os04g0518400/Os04g0593400/Os06g0158100/Os06g0287700/Os06g0594200/Os06g0649000/Os06g0707700/Os05g0135500/Os05g0320700/Os05g0322900/Os05g0414200/Os05g0474800/Os05g0537100/Os05g0571200/Os07g0680400/Os11g0117600/Os11g0226933/Os11g0227200/Os11g0227800/Os11g0229400/Os11g0249000/Os11g0270500/Os11g0474800/Os11g0480000/Os11g0590700/Os11g0686500/Os08g0105700/Os08g0198900/Os08g0202400/Os08g0235800/Os08g0386200/Os08g0477500/Os08g0543500/Os12g0102300/Os12g0115700/Os12g0246700/Os12g0281600/Os12g0491800/Os12g0555000/Os12g0555200/Os12g0555500/Os09g0311600/Os09g0313500/Os09g0314200/Os09g0334500/Os09g0417600/Os09g0417800/Os09g0517100	83
GO:0009863	salicylic acid mediated signaling pathway	20/1699	69/10993	0.00307324171927828	0.0455498326250174	0.0399752494312137	Os01g0289600/Os01g0686800/Os03g0657400/Os03g0667100/Os03g0694000/Os03g0802500/Os06g0158100/Os06g0270900/Os05g0102000/Os05g0322900/Os07g0676600/Os07g0680400/Os11g0249000/Os11g0256900/Os08g0155900/Os08g0441600/Os12g0555000/Os12g0555500/Os09g0361500/Os09g0385700	20
GO:0010200	response to chitin	13/1699	38/10993	0.00334400619257804	0.0478538817213754	0.0419973191517968	Os01g0865700/Os03g0285800/Os03g0821900/Os02g0548700/Os02g0624300/Os02g0627100/Os02g0698000/Os02g0732200/Os04g0538000/Os06g0726300/Os07g0119000/Os07g0479100/Os09g0562600	13
